Distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.09953058821433902,-64.5262,-64.5261,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4283,-64.341,-64.3409,-10.7544,-10.7331,-9.0017,-8.8784,-7.5132,-7.3458,-1.8859,-1.4277,-0.149,0.2078,0.2196,0.2258,0.2572,0.2576,0.2618,0.2971,0.3056,0.3638,1.131,1.1313,1.1524,1.1629,2.5235,2.5295,2.5762,2.5767,2.5865,2.5903,2.6459,2.6668,2.7084,2.7159,2.7229,2.7709,2.7856,2.7934,2.8034,2.9786,3.2944,4.0664,4.1862,4.2352,4.2793,4.2949,5.2421,5.331,5.5164,5.606,5.6252,5.6751,5.727,5.9585,6.0288,7.1958,7.2346,7.4441,8.0398,8.7307,9.2288,9.901,10.4752,10.9272,11.1288,11.2445,11.3536,11.4233,11.5911,11.7264,11.8113,11.9355,12.0201,12.0957,12.7012,12.7795,13.5905,14.4798,14.5925,14.7125,15.3004,15.3609,15.6566,15.9333,16.3023,16.4326,16.5306,17.0002,17.2178,17.2517,17.8047,18.0335,18.6958,18.7978,19.3623,19.3743,19.3847,19.7288,20.1533,20.7436,20.8301,20.9142,21.747,21.7628,21.8502,22.0865,22.4105,22.5553,23.4298,23.498,23.7288,24.9635
0.10948366041268486,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4283,-64.341,-64.3409,-10.7519,-10.7306,-8.9982,-8.8753,-7.51,-7.3432,-1.8828,-1.4261,-0.1498,0.1953,0.2133,0.2212,0.2484,0.2593,0.2643,0.2973,0.3061,0.3675,1.1268,1.1286,1.1544,1.1648,2.5205,2.5278,2.5748,2.5753,2.5868,2.5874,2.6456,2.666,2.7104,2.716,2.7268,2.7675,2.7868,2.796,2.8041,2.989,3.2903,4.0496,4.1717,4.2299,4.2744,4.2932,5.2128,5.3181,5.4849,5.5837,5.6134,5.6665,5.7071,5.9509,6.0348,7.2257,7.2645,7.444,8.0694,8.7557,9.2481,9.9172,10.4658,10.9004,11.1408,11.2247,11.317,11.4385,11.5847,11.7476,11.8084,11.9571,12.0326,12.1111,12.7002,12.794,13.6051,14.4755,14.5596,14.7013,15.2851,15.3555,15.6311,15.9443,16.3454,16.4724,16.5654,17.0451,17.2241,17.2459,17.817,18.0668,18.6977,18.819,19.3637,19.38,19.4071,19.7226,20.1878,20.7166,20.8409,20.9209,21.7476,21.7731,21.8638,22.0572,22.4302,22.5968,23.4484,23.5226,23.7681,25.0034
0.1194367135011565,-64.5262,-64.5261,-64.5261,-64.526,-64.4864,-64.4863,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7491,-10.728,-8.9943,-8.8719,-7.5065,-7.3404,-1.8794,-1.4243,-0.1508,0.1823,0.2063,0.2161,0.2385,0.2616,0.267,0.2975,0.3067,0.371,1.122,1.126,1.1566,1.167,2.5173,2.5259,2.5733,2.5739,2.5835,2.588,2.6454,2.6651,2.7118,2.7161,2.7314,2.7643,2.788,2.7989,2.8049,2.9998,3.2859,4.0316,4.1563,4.224,4.2691,4.2914,5.1816,5.3042,5.4515,5.5596,5.6006,5.6571,5.6856,5.9425,6.0412,7.2578,7.2966,7.4439,8.1008,8.7823,9.2687,9.9344,10.4557,10.8721,11.1539,11.2039,11.2796,11.4551,11.578,11.7708,11.8056,11.9806,12.0462,12.1253,12.6993,12.8097,13.6197,14.4701,14.5253,14.6896,15.2696,15.3498,15.6072,15.9559,16.3923,16.5152,16.6021,17.0747,17.24,17.2475,17.8293,18.1027,18.7002,18.8418,19.3649,19.3854,19.4317,19.7161,20.2249,20.6885,20.8527,20.9285,21.7488,21.7866,21.8787,22.0278,22.4512,22.6394,23.4686,23.5472,23.8098,25.0462
0.12938976658962814,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4862,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7461,-10.7251,-8.99,-8.8682,-7.5028,-7.3373,-1.8757,-1.4224,-0.1518,0.1687,0.1986,0.2104,0.2282,0.264,0.2699,0.2976,0.3074,0.3741,1.1167,1.1232,1.159,1.1694,2.5138,2.5239,2.5717,2.5723,2.58,2.5887,2.6453,2.6641,2.7127,2.7161,2.7365,2.7613,2.7892,2.8018,2.8056,3.0109,3.2811,4.0126,4.1401,4.2177,4.2633,4.2893,5.1485,5.2893,5.4165,5.5339,5.5869,5.6469,5.6624,5.9334,6.048,7.2919,7.3307,7.4436,8.1337,8.8104,9.2904,9.9525,10.4448,10.8427,11.168,11.1822,11.2418,11.473,11.5709,11.7957,11.8031,12.0062,12.0608,12.1382,12.6986,12.8267,13.6339,14.4634,14.4899,14.6775,15.254,15.3438,15.5851,15.968,16.4429,16.561,16.6403,17.0866,17.2339,17.2904,17.8416,18.1414,18.7032,18.8662,19.3659,19.3912,19.4581,19.7095,20.2639,20.6598,20.8655,20.9372,21.7508,21.8035,21.895,21.9987,22.4734,22.6828,23.4901,23.5717,23.8535,25.0926
0.139342838787974,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4862,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7429,-10.722,-8.9855,-8.8642,-7.4987,-7.3341,-1.8718,-1.4204,-0.1529,0.1547,0.1901,0.2036,0.218,0.2665,0.2731,0.2978,0.3082,0.3771,1.1111,1.1201,1.1615,1.1719,2.5101,2.5217,2.57,2.5705,2.5763,2.5895,2.6454,2.6631,2.7133,2.7162,2.742,2.7587,2.7905,2.805,2.8065,3.0223,3.2759,3.9927,4.1231,4.2109,4.2571,4.2871,5.1136,5.2733,5.3801,5.5066,5.5722,5.636,5.6377,5.9237,6.0551,7.3278,7.3667,7.4434,8.168,8.8398,9.3131,9.9713,10.4333,10.8123,11.1598,11.1831,11.2035,11.4922,11.5637,11.8009,11.8226,12.0336,12.0765,12.1498,12.6981,12.8449,13.6475,14.4536,14.4552,14.6651,15.2387,15.3376,15.5648,15.9806,16.497,16.6095,16.6796,17.0873,17.2278,17.3464,17.8536,18.1825,18.7069,18.892,19.3666,19.3974,19.486,19.703,20.3041,20.6317,20.8795,20.947,21.7537,21.824,21.9126,21.9701,22.4966,22.7266,23.5129,23.5959,23.8989,25.1433
0.14929589187644562,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4862,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7395,-10.7187,-8.9806,-8.86,-7.4944,-7.3306,-1.8676,-1.4183,-0.1541,0.1401,0.1808,0.1952,0.2085,0.2691,0.2765,0.298,0.3091,0.3798,1.1051,1.1169,1.1643,1.1747,2.5062,2.5195,2.5681,2.5687,2.5727,2.5903,2.6456,2.662,2.7139,2.7162,2.7476,2.7563,2.7918,2.8074,2.8083,3.034,3.2703,3.9721,4.1055,4.2036,4.2505,4.2847,5.0772,5.2563,5.3425,5.4778,5.5566,5.6115,5.6243,5.9133,6.0626,7.3654,7.4037,7.4437,8.2034,8.8704,9.3367,9.9906,10.4211,10.7812,11.137,11.1651,11.1991,11.5126,11.5563,11.7992,11.8512,12.063,12.0932,12.1598,12.698,12.8643,13.6603,14.4169,14.4454,14.6524,15.2238,15.3313,15.5464,15.9935,16.5545,16.6607,16.7198,17.0829,17.2217,17.4094,17.8654,18.2259,18.7115,18.9192,19.3668,19.4041,19.5151,19.6966,20.3435,20.6062,20.8947,20.9579,21.7575,21.8479,21.9315,21.9424,22.5208,22.7705,23.537,23.6196,23.9455,25.1922
0.1592489449649173,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4862,-64.4862,-64.4862,-64.4862,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7358,-10.7152,-8.9754,-8.8555,-7.4897,-7.3269,-1.8631,-1.4161,-0.1555,0.1251,0.1703,0.1852,0.2001,0.2718,0.2801,0.2982,0.3103,0.3823,1.0988,1.1135,1.1672,1.1776,2.5021,2.5171,2.5662,2.5668,2.5689,2.5911,2.6458,2.6609,2.7144,2.7162,2.7533,2.7543,2.7931,2.8084,2.8118,3.0459,3.2645,3.9508,4.0873,4.1959,4.2435,4.2822,5.0394,5.2383,5.3039,5.4475,5.5401,5.5839,5.612,5.9022,6.0705,7.4045,7.4336,7.4527,8.2398,8.9019,9.3609,10.0101,10.4084,10.7498,11.1139,11.1267,11.2161,11.5343,11.5489,11.7981,11.8816,12.0943,12.1109,12.1683,12.6983,12.8848,13.672,14.38,14.434,14.6396,15.2097,15.325,15.5299,16.0067,16.6153,16.7144,16.7602,17.077,17.2156,17.476,17.8769,18.2715,18.7169,18.9477,19.3666,19.4114,19.5452,19.6907,20.3781,20.5875,20.9114,20.9701,21.7624,21.8751,21.9158,21.9516,22.5459,22.8141,23.5622,23.6427,23.993,25.2431
0.1692020171632631,-64.5262,-64.5262,-64.5261,-64.526,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4862,-64.4861,-64.4861,-64.4285,-64.4284,-64.4283,-64.4282,-64.341,-64.3409,-10.7319,-10.7114,-8.9699,-8.8507,-7.4848,-7.3229,-1.8584,-1.4137,-0.157,0.1096,0.1584,0.1742,0.1925,0.2746,0.284,0.2985,0.3116,0.3845,1.0922,1.1099,1.1703,1.1807,2.4978,2.5147,2.5643,2.5648,2.5651,2.5919,2.6462,2.6598,2.7148,2.7163,2.7525,2.7591,2.7944,2.8094,2.8153,3.058,3.2582,3.9289,4.0688,4.1877,4.2362,4.2795,5.0002,5.2194,5.2644,5.416,5.5228,5.5551,5.599,5.8906,6.0786,7.4376,7.445,7.4888,8.2769,8.9343,9.3856,10.0297,10.3952,10.7181,11.0883,11.0907,11.2339,11.5416,11.5572,11.7975,11.9137,12.1274,12.1295,12.1752,12.699,12.9065,13.6824,14.3431,14.4208,14.6268,15.1965,15.3186,15.5151,16.0201,16.6792,16.7706,16.8002,17.0716,17.2097,17.5444,17.8881,18.319,18.7233,18.9774,19.3659,19.4193,19.5761,19.6854,20.4,20.5837,20.9296,20.9835,21.7683,21.8906,21.9057,21.9729,22.5719,22.857,23.5886,23.665,24.0412,25.2961
0.17915507025173474,-64.5262,-64.5262,-64.5261,-64.526,-64.4864,-64.4863,-64.4863,-64.4862,-64.4862,-64.4862,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4282,-64.341,-64.3409,-10.7278,-10.7075,-8.9641,-8.8456,-7.4797,-7.3188,-1.8534,-1.4113,-0.1586,0.0937,0.145,0.1628,0.185,0.2773,0.288,0.2987,0.3131,0.3866,1.0852,1.1061,1.1735,1.1839,2.4933,2.5122,2.5613,2.5622,2.5627,2.5927,2.6465,2.6586,2.7152,2.7163,2.751,2.7649,2.7958,2.8105,2.8189,3.0703,3.2517,3.9066,4.0498,4.1792,4.2285,4.2766,4.9597,5.1997,5.2241,5.3833,5.5047,5.5249,5.5854,5.8782,6.0871,7.437,7.4867,7.5307,8.3146,8.9673,9.4107,10.0491,10.3816,10.6866,11.0503,11.0676,11.2526,11.5345,11.5813,11.7977,11.9475,12.149,12.1623,12.1804,12.7002,12.9293,13.6914,14.3065,14.4057,14.6141,15.1845,15.3124,15.5021,16.0338,16.746,16.8291,16.839,17.068,17.2039,17.6135,17.8993,18.3682,18.7308,19.0082,19.3647,19.428,19.6076,19.681,20.4017,20.6026,20.9496,20.9981,21.7755,21.8671,21.9392,21.9956,22.5986,22.8989,23.6158,23.6864,24.0895,25.3748
0.1891081233402064,-64.5263,-64.5262,-64.5261,-64.5261,-64.4864,-64.4864,-64.4863,-64.4863,-64.4863,-64.4862,-64.4861,-64.4861,-64.4285,-64.4284,-64.4284,-64.4282,-64.341,-64.3409,-10.7235,-10.7034,-8.958,-8.8403,-7.4742,-7.3144,-1.8481,-1.4087,-0.1604,0.0774,0.1302,0.1514,0.1776,0.28,0.2923,0.2989,0.3149,0.3884,1.078,1.1022,1.1769,1.1874,2.4887,2.5097,2.5575,2.56,2.5606,2.5936,2.647,2.6574,2.7157,2.7162,2.7499,2.7707,2.797,2.8116,2.8227,3.0826,3.2448,3.8839,4.0304,4.1701,4.2205,4.2735,4.9182,5.179,5.1832,5.3494,5.4859,5.4937,5.5711,5.8653,6.0959,7.4357,7.5296,7.5744,8.3526,9.0007,9.4359,10.0678,10.3678,10.6555,11.0128,11.0449,11.272,11.5279,11.6065,11.7985,11.9829,12.1694,12.184,12.1991,12.7019,12.9531,13.6988,14.2705,14.3888,14.6015,15.1737,15.3063,15.4907,16.0475,16.8155,16.8754,16.8899,17.0678,17.1983,17.6823,17.911,18.419,18.7394,19.0401,19.3628,19.4373,19.6392,19.6779,20.3865,20.6412,20.9714,21.0141,21.7839,21.8456,21.9751,22.02,22.626,22.9393,23.6446,23.7069,24.1427,25.332
