Energy (eV),DOS_up
-63.429750750000004,0.0
-63.38025075,0.0
-63.33075075,0.0
-63.28135075,0.0
-63.23185075,0.0
-63.18235075,0.0
-63.13295075,0.0
-63.08345075,0.0
-63.03395075,0.0
-62.98445075,0.0
-62.93505075,0.0
-62.88555075,0.0
-62.83605075,0.0
-62.78665075,0.0
-62.73715075,0.0
-62.68765075,0.0
-62.63815075,0.0
-62.58875075,0.0
-62.53925075,0.0
-62.48975075,0.0
-62.44035075,0.0
-62.39085075,0.0
-62.341350750000004,0.0
-62.29185075,0.0
-62.24245075,0.0
-62.19295075,0.0
-62.14345075,0.0
-62.09395075,0.0
-62.04455075,0.0
-61.99505075,0.0
-61.94555075,0.0
-61.896150750000004,0.0
-61.84665075,0.0
-61.79715075,0.0
-61.74765075,0.0
-61.69825075,0.0
-61.64875075,0.0
-61.59925075,0.0
-61.54985075,0.0
-61.50035075,0.0
-61.45085075,0.0
-61.40135075,0.0
-61.35195075,0.0
-61.30245075,0.0
-61.252950750000004,0.0
-61.20355075,0.0
-61.15405075,0.0
-61.10455075,0.0
-61.05505075,0.0
-61.00565075,0.0
-60.95615075,0.0
-60.90665075,0.0
-60.85715075,0.0
-60.807750750000004,0.0
-60.75825075,0.0
-60.70875075,0.0
-60.65935075,0.0
-60.60985075,0.0
-60.56035075,0.0
-60.51085075,0.0
-60.46145075,0.0
-60.41195075,0.0
-60.36245075,0.0
-60.31305075,0.0
-60.26355075,0.0
-60.21405075,0.0
-60.164550750000004,0.0
-60.11515075,0.0
-60.06565075,0.0
-60.01615075,0.0
-59.96675075,0.0
-59.91725075,0.0
-59.86775075,0.0
-59.81825075,0.0
-59.76885075,0.0
-59.719350750000004,0.0
-59.66985075,0.0
-59.62045075,0.0
-59.57095075,0.0
-59.52145075,0.0
-59.47195075,0.0
-59.42255075,0.0
-59.37305075,0.0
-59.32355075,0.0
-59.27405075,0.0
-59.22465075,0.0
-59.17515075,0.0
-59.12565075,0.0
-59.07625075,0.0
-59.02675075,0.0
-58.97725075,0.0
-58.92775075,0.0
-58.87835075,0.0
-58.82885075,0.0
-58.77935075,0.0
-58.72995075,0.0
-58.68045075,0.0
-58.630950750000004,0.0
-58.58145075,0.0
-58.53205075,0.0
-58.48255075,0.0
-58.43305075,0.0
-58.38365075,0.0
-58.33415075,0.0
-58.28465075,0.0
-58.23515075,0.0
-58.185750750000004,0.0
-58.13625075,0.0
-58.08675075,0.0
-58.03725075,0.0
-57.98785075,0.0
-57.93835075,0.0
-57.88885075,0.0
-57.83945075,0.0
-57.78995075,0.0
-57.74045075,0.0
-57.69095075,0.0
-57.64155075,0.0
-57.59205075,0.0
-57.542550750000004,0.0
-57.49315075,0.0
-57.44365075,0.0
-57.39415075,0.0
-57.34465075,0.0
-57.29525075,0.0
-57.24575075,0.0
-57.19625075,0.0
-57.14685075,0.0
-57.097350750000004,0.0
-57.04785075,0.0
-56.99835075,0.0
-56.94895075,0.0
-56.89945075,0.0
-56.84995075,0.0
-56.80055075,0.0
-56.75105075,0.0
-56.70155075,0.0
-56.65205075,0.0
-56.60265075,0.0
-56.55315075,0.0
-56.50365075,0.0
-56.454150750000004,0.0
-56.40475075,0.0
-56.35525075,0.0
-56.30575075,0.0
-56.25635075,0.0
-56.20685075,0.0
-56.15735075,0.0
-56.10785075,0.0
-56.05845075,0.0
-56.008950750000004,0.0
-55.95945075,0.0
-55.91005075,0.0
-55.86055075,0.0
-55.81105075,0.0
-55.76155075,0.0
-55.71215075,0.0
-55.66265075,0.0
-55.61315075,0.0
-55.56375075,0.0
-55.51425075,0.0
-55.46475075,0.0
-55.41525075,0.0
-55.36585075,0.0
-55.31635075,0.0
-55.26685075,0.0
-55.21735075,0.0
-55.16795075,0.0
-55.11845075,0.0
-55.06895075,0.0
-55.01955075,0.0
-54.97005075,0.0
-54.920550750000004,0.0
-54.87105075,0.0
-54.82165075,0.0
-54.77215075,0.0
-54.72265075,0.0
-54.67325075,0.0
-54.62375075,0.0
-54.57425075,0.0
-54.52475075,0.0
-54.47535075,0.0
-54.42585075,0.0
-54.37635075,0.0
-54.32695075,0.0
-54.27745075,0.0
-54.22795075,0.0
-54.17845075,0.0
-54.12905075,0.0
-54.07955075,0.0
-54.03005075,0.0
-53.98065075,0.0
-53.93115075,0.0
-53.88165075,0.0
-53.832150750000004,0.0
-53.78275075,0.0
-53.73325075,0.0
-53.68375075,0.0
-53.63425075,0.0
-53.58485075,0.0
-53.53535075,0.0
-53.48585075,0.0
-53.43645075,0.0
-53.38695075,0.0
-53.33745075,0.0
-53.28795075,0.0
-53.23855075,0.0
-53.18905075,0.0
-53.13955075,0.0
-53.09015075,0.0
-53.04065075,0.0
-52.99115075,0.0
-52.94165075,0.0
-52.89225075,0.0
-52.84275075,0.0
-52.79325075,0.0
-52.74385075,0.0
-52.69435075,0.0
-52.64485075,0.0
-52.59535075,0.0
-52.54595075,0.0
-52.49645075,0.0
-52.44695075,0.0
-52.39745075,0.0
-52.34805075,0.0
-52.29855075,0.0
-52.24905075,0.0
-52.19965075,0.0
-52.15015075,0.0
-52.10065075,0.0
-52.05115075,0.0
-52.00175075,0.0
-51.95225075,0.0
-51.90275075,0.0
-51.85335075,0.0
-51.80385075,0.0
-51.75435075,0.0
-51.70485075,0.0
-51.65545075,0.0
-51.60595075,0.0
-51.55645075,0.0
-51.50705075,0.0
-51.45755075,0.0
-51.40805075,0.0
-51.35855075,0.0
-51.30915075,0.0
-51.25965075,0.0
-51.210150750000004,0.0
-51.16075075,0.0
-51.11125075,0.0
-51.06175075,0.0
-51.01225075,0.0
-50.96285075,0.0
-50.91335075,0.0
-50.86385075,0.0
-50.81435075,0.0
-50.76495075,0.0
-50.71545075,0.0
-50.66595075,0.0
-50.61655075,0.0
-50.56705075,0.0
-50.51755075,0.0
-50.46805075,0.0
-50.41865075,0.0
-50.36915075,0.0
-50.31965075,0.0
-50.27025075,0.0
-50.22075075,0.0
-50.17125075,0.0
-50.121750750000004,0.0
-50.07235075,0.0
-50.02285075,0.0
-49.97335075,0.0
-49.92395075,0.0
-49.87445075,0.0
-49.82495075,0.0
-49.77545075,0.0
-49.72605075,0.0
-49.67655075,0.0
-49.62705075,0.0
-49.57755075,0.0
-49.52815075,0.0
-49.47865075,0.0
-49.42915075,0.0
-49.37975075,0.0
-49.33025075,0.0
-49.28075075,0.0
-49.23125075,0.0
-49.18185075,0.0
-49.13235075,0.0
-49.08285075,0.0
-49.03345075,0.0
-48.98395075,0.0
-48.93445075,0.0
-48.88495075,0.0
-48.83555075,0.0
-48.78605075,0.0
-48.73655075,0.0
-48.68715075,0.0
-48.63765075,0.0
-48.58815075,0.0
-48.53865075,0.0
-48.489250750000004,0.0
-48.43975075,0.0
-48.39025075,0.0
-48.34085075,0.0
-48.29135075,0.0
-48.24185075,0.0
-48.19235075,0.0
-48.14295075,0.0
-48.09345075,0.0
-48.04395075,0.0
-47.99445075,0.0
-47.94505075,0.0
-47.89555075,0.0
-47.84605075,0.0
-47.79665075,0.0
-47.74715075,0.0
-47.69765075,0.0
-47.64815075,0.0
-47.59875075,0.0
-47.54925075,0.0
-47.49975075,0.0
-47.45035075,0.0
-47.400850750000004,0.0
-47.35135075,0.0
-47.30185075,0.0
-47.25245075,0.0
-47.20295075,0.0
-47.15345075,0.0
-47.10405075,0.0
-47.05455075,0.0
-47.00505075,0.0
-46.95555075,0.0
-46.90615075,0.0
-46.85665075,0.0
-46.80715075,0.0
-46.75765075,0.0
-46.70825075,0.0
-46.65875075,0.0
-46.60925075,0.0
-46.55985075,0.0
-46.51035075,0.0
-46.46085075,0.0
-46.41135075,0.0
-46.36195075,0.0
-46.31245075,0.0
-46.26295075,0.0
-46.21355075,0.0
-46.16405075,0.0
-46.11455075,0.0
-46.06505075,0.0
-46.01565075,0.0
-45.96615075,0.0
-45.91665075,0.0
-45.867250750000004,0.0
-45.81775075,0.0
-45.76825075,0.0
-45.71875075,0.0
-45.66935075,0.0
-45.61985075,0.0
-45.57035075,0.0
-45.52095075,0.0
-45.47145075,0.0
-45.42195075,0.0
-45.37245075,0.0
-45.32305075,0.0
-45.27355075,0.0
-45.22405075,0.0
-45.17455075,0.0
-45.12515075,0.0
-45.07565075,0.0
-45.02615075,0.0
