Energy (eV),DOS_up,DOS_down
-50.7400271,0.0,-0.0
-50.693527100000004,0.0,-0.0
-50.6469271,0.0,-0.0
-50.600427100000005,0.0,-0.0
-50.5539271,0.0,-0.0
-50.507327100000005,0.0,-0.0
-50.4608271,0.0,-0.0
-50.4142271,0.0,-0.0
-50.3677271,0.0,-0.0
-50.3212271,0.0,-0.0
-50.274627100000004,0.0,-0.0
-50.2281271,0.0,-0.0
-50.1816271,0.0,-0.0
-50.1350271,0.0,-0.0
-50.0885271,0.0,-0.0
-50.0419271,0.0,-0.0
-49.9954271,0.0,-0.0
-49.9489271,0.0,-0.0
-49.9023271,0.0,-0.0
-49.8558271,0.0,-0.0
-49.8092271,0.0,-0.0
-49.7627271,0.0,-0.0
-49.716227100000005,0.0,-0.0
-49.6696271,0.0,-0.0
-49.6231271,0.0,-0.0
-49.5765271,0.0,-0.0
-49.5300271,0.0,-0.0
-49.4835271,0.0,-0.0
-49.4369271,0.0,-0.0
-49.390427100000004,0.0,-0.0
-49.3438271,0.0,-0.0
-49.297327100000004,0.0,-0.0
-49.2508271,0.0,-0.0
-49.204227100000004,0.0,-0.0
-49.1577271,0.0,-0.0
-49.111127100000004,0.0,-0.0
-49.0646271,0.0,-0.0
-49.0181271,0.0,-0.0
-48.9715271,0.0,-0.0
-48.9250271,0.0,-0.0
-48.8784271,0.0,-0.0
-48.8319271,0.0,-0.0
-48.7854271,0.0,-0.0
-48.7388271,0.0,-0.0
-48.6923271,0.0,-0.0
-48.6457271,0.0,-0.0
-48.5992271,0.0,-0.0
-48.5527271,0.0,-0.0
-48.5061271,0.0,-0.0
-48.4596271,0.0,-0.0
-48.4130271,0.0,-0.0
-48.3665271,0.0,-0.0
-48.320027100000004,0.0,-0.0
-48.2734271,0.0,-0.0
-48.226927100000005,0.0,-0.0
-48.1803271,0.0,-0.0
-48.1338271,0.0,-0.0
-48.0873271,0.0,-0.0
-48.0407271,0.0,-0.0
-47.9942271,0.0,-0.0
-47.9476271,0.0,-0.0
-47.901127100000004,0.0,-0.0
-47.8546271,0.0,-0.0
-47.808027100000004,0.0,-0.0
-47.7615271,0.0,-0.0
-47.714927100000004,0.0,-0.0
-47.6684271,0.0,-0.0
-47.6219271,0.0,-0.0
-47.5753271,0.0,-0.0
-47.5288271,0.0,-0.0
-47.4822271,0.0,-0.0
-47.4357271,0.0,-0.0
-47.3892271,0.0,-0.0
-47.3426271,0.0,-0.0
-47.2961271,0.0,-0.0
-47.2495271,0.0,-0.0
-47.2030271,0.0,-0.0
-47.1565271,0.0,-0.0
-47.1099271,0.0,-0.0
-47.0634271,0.0,-0.0
-47.0168271,0.0,-0.0
-46.9703271,0.0,-0.0
-46.923827100000004,0.0,-0.0
-46.8772271,0.0,-0.0
-46.830727100000004,0.0,-0.0
-46.7841271,0.0,-0.0
-46.737627100000005,0.0,-0.0
-46.6911271,0.0,-0.0
-46.644527100000005,0.0,-0.0
-46.5980271,0.0,-0.0
-46.5514271,0.0,-0.0
-46.5049271,0.0,-0.0
-46.4584271,0.0,-0.0
-46.411827100000004,0.0,-0.0
-46.3653271,0.0,-0.0
-46.318727100000004,0.0,-0.0
-46.2722271,0.0,-0.0
-46.2257271,0.0,-0.0
-46.1791271,0.0,-0.0
-46.1326271,0.0,-0.0
-46.0860271,0.0,-0.0
-46.0395271,0.0,-0.0
-45.9930271,0.0,-0.0
-45.9464271,0.0,-0.0
-45.8999271,0.0,-0.0
-45.8533271,0.0,-0.0
-45.8068271,0.0,-0.0
-45.7603271,0.0,-0.0
-45.7137271,0.0,-0.0
-45.6672271,0.0,-0.0
-45.6206271,0.0,-0.0
-45.5741271,0.0,-0.0
-45.527627100000004,0.0,-0.0
-45.4810271,0.0,-0.0
-45.434527100000004,0.0,-0.0
-45.3879271,0.0,-0.0
-45.341427100000004,0.0,-0.0
-45.2949271,0.0,-0.0
-45.248327100000004,0.0,-0.0
